posted_date,author_name,author_headline,author_type,is_repost,has_media,likes,comments,reposts,total_engagement,summary,post_text,post_url
2026-09-16,Bob Moore,Co-Founder and CEO at Crossbeam. Author of Ecosystem-Led Growth.,person,no,yes,268,20,28,316,"Bob Moore, Crossbeam's CEO, announces Crossbeam is a launch partner in Salesforce's new AgentExchange ""AI Agents and Tools"" category.","BOOM! Huge news out of Salesforce today at Dreamforce, as Crossbeam is officially a launch partner in the ""AI Agents and Tools"" category for AgentExchange!

This is the first of many exciting ways we're growing our collaboration surface with Salesforce this year as our roadmaps beautifully converge around AI - stay tuned for much more. 

https://lnkd.in/g6P5_aX7",https://www.linkedin.com/posts/robertjmoore_boom-huge-news-out-of-salesforce-today-at-activity-7506027705331499009-B271
2026-09-18,Alicia Bordner,"Global Salesforce Administrator at Schleuniger, Salesforce Sales Cloud, Pardot, Service Cloud, Field Service",person,no,yes,3,0,0,3,"Schleuniger Salesforce administrator Alicia Bordner recaps Dreamforce San Francisco sessions and team conversations, then heads to Disney afterward.","Wrapping up an incredible few days at Dreamforce  in San Francisco! 

From insightful sessions and new perspectives to great daily recap conversations with colleagues, I’m leaving with plenty of ideas and takeaways that I’m excited to bring back to the team at Komax/Schleuniger Global   

Grateful for the opportunity to learn, connect, and see what’s next for Salesforce !

And now… it’s time to trade Dreamforce for Disney! 🏰✨😂

#Dreamforce #Salesforce #Dreamforce2026",https://www.linkedin.com/posts/alicia-bordner-53a265267_dreamforce-salesforce-dreamforce2026-activity-7506821915844452352-OCjn
2026-09-18,Samiran Dwivedi,Leading Global SMB Solutions,person,no,yes,26,2,0,28,"Samiran Dwivedi, an SMB solutions leader, unveils five agents—Slackbot, Piper, Momentum, Agentforce Coworker, Fin—at the SMB Keynote with guests from SaaStr AI and Perplexity.","Dreamforce '26 is a wrap.

On the SMB Keynote stage, I talked about what customers actually ask me. It's never ""does AI work?"" It's ""what job would I actually give it?""
So we didn't demo a platform. We introduced a digital team, five agents, five jobs:
→ Slackbot - answers from your CRM, in the channel you're already in
→ Piper - engages inbound buyers, follows up when they don't convert
→ Momentum - the data foundation that makes every agent and every rep smarter
→ Agentforce Coworker - an AI teammate in Lightning, live at the push of a button
→ Fin - resolves customer conversations autonomously, tuned to your rules out of the box

And we have SMBs who are taking advantage of all of this tech today and seeing tremendous ROI and revenue growth. A 40-person company can now field the same digital team as a 40,000-person one.

Thanks to Amelia Lerutte from SaaStr Ai and Nathan Follen from Perplexity for joining me on stage. Marlee Burton and Sabrina Skaggs for the amazing demo. And thank you to Jennifer Sei and Sharif Karmally and my co-presenters Adam Alfano, Whitney Hillyer, Giovanni Crispino and Des Traynor for the idea to delivery of our keynote.

Highlights below. What's the first role you'd hire?",https://www.linkedin.com/posts/samirand_dreamforce-26-is-a-wrap-on-the-smb-keynote-activity-7506843584067846145-w0aK
2026-09-18,Arnav Mukherjee,"Finance & Entrepreneurship @ Northeastern | Founder & CEO, Nexacore Solutions (Exited)",person,no,yes,13,2,0,15,"Northeastern student and Nexacore founder Arnav Mukherjee describes attending Dreamforce, walking the expo floor, and hearing Reese Witherspoon discuss her path from acting to entrepreneurship.","Yesterday I was at #Dreamforce, and I'm still working through everything I took in.

Attending as one of the youngest people in the room was a rare opportunity, and it mapped closely onto what I'm studying at Northeastern University, where I'm focused on business with concentrations in , finance & entrepreneurship. Walking the floor made clear how deeply Salesforce is embedded in how companies actually run, and how much it connects people across markets. No lecture replicates seeing that firsthand.

A highlight was the session with Reese Witherspoon. Hearing her path from acting to founding her own company brought home how much harder it still is for women to establish themselves in any industry they enter.

Thanks to everyone I met and learned from. Already looking forward to the next Salesforce event.

#Dreamforce2026 #DF26 #Salesforce #Agentforce #Fintech #Entrepreneurship #TrailblazerCommunity #NortheasternUniversity Ekaterina Karniouchina Darijo Bošnjak Northeastern University, Oakland - Career Connections & Experiential Learning Dan Sachs Adam Dadson LeeAnne Rimel Fabian Contreras Salesforce Sanjeev Balakrishnan",https://www.linkedin.com/posts/arnav-mukherjee_dreamforce-dreamforce2026-df26-activity-7506801089095127040-foPf
2026-09-15,Scott Stafford,Founder & CEO at Empowering our Minds,person,no,yes,15,0,3,18,Scott Stafford reflects on Marc Benioff's Dreamforce conversation with Anthropic's Dario Amodei about untapped AI capability and combining Claude with Salesforce data.,"A powerful moment hearing Marc Benioff, Chair and CEO of Salesforce, in conversation with Dario Amodei CEO of Anthropic, about how they see the world ahead and the enormous opportunity still in front of us.

One point that really stood out was how little of today’s AI capability we are actually taking advantage of. There is still so much value waiting to be unlocked.

That is what makes the combination of Claude and Salesforce so exciting. When powerful AI connects with trusted enterprise data, workflows, and human judgment, the possibilities expand quickly.

We are still early. The next chapter is not just about having AI. It is about learning how to use it well, unlock its power, and create meaningful outcomes for people and organizations. 🚀

#Dreamforce #Salesforce #MarcBenioff #Anthropic #DarioAmodei #Claude #AI #AgenticAI #FutureOfWork",https://www.linkedin.com/posts/scott-stafford-info_dreamforce-salesforce-marcbenioff-activity-7505687084465205250-rlFl
2026-09-18,Hesham Mansour,AI & Enterprise Systems Architect | CEO at iCare Solutions | Software Engineering Program Leader at MSA University | Author of Spark News: AI Media Brief,person,no,yes,3,0,3,6,"Hesham Mansour reports a seven-hour Salesforce and Google Drive outage on Dreamforce Day 2, blaming a legacy login dependency overwhelmed by traffic.","What happens when the biggest business software in the world crashes during its own annual party? Salesforce and Google Drive both suffered major disruptions on Wednesday during Day 2 of Dreamforce in San Francisco.

Here is what you need to know:

- A massive outage lasted over seven hours, locking global enterprises out of critical client records.

- The root cause was traced to a legacy login dependency that got overwhelmed by traffic.

- Analysts warn businesses now face data divergence, meaning hours of automated records, orders, and tickets must be reconciled by hand.

Are modern cloud platforms relying too heavily on hidden legacy code? Read the full story on Spark News to see what went wrong behind the scenes:

🔗 https://lnkd.in/enyAZzif

#Salesforce #Dreamforce #TechNews #CloudComputing #GoogleDrive",https://www.linkedin.com/posts/hesham-mansour-961041140_salesforce-dreamforce-technews-activity-7506520946829299712-X3vh
2026-09-17,MuleSoft,"295,648 followers",company,no,yes,19,0,2,21,"MuleSoft's company page promotes Thursday #DF26 sessions covering Agent Fabric, AI security, trusted data, legacy modernization, and composable enterprise AI architecture.","One more day. Plenty more MuleSoft.

Thursday at #DF26 brings another chance to explore Agent Fabric, AI security, trusted data, legacy modernization, composable systems, and the architecture decisions shaping enterprise AI. Finish Dreamforce strong:",https://www.linkedin.com/posts/mulesoft_thursday-september-17-mulesoft-at-dreamforce-activity-7506317210131419136-fMdX
2026-09-14,Rey Perera,CEO + Co- founder | Entrepreneur | ☁️Salesforce ISV | 🌧️maker,person,no,yes,70,2,3,75,"GridMate CEO Rey Perera marks seven years since co-founding with Hicham El Mansouri, invites attendees to Trailblazer Forest Sept 15–17 to see new product RevenueMate.","Dreamforce starts tomorrow.

It's hard not to look back at where it all began.

Seven years ago, Hicham El Mansouri and I started GridMate with an idea and a feeling that we were onto something.

Three Dreamforces later, we're heading back to Moscone for what feels like our biggest one yet.

Not just because of what we've built, but because of who we'll be there with. 

Seven years of growing GridMate has meant growing alongside some incredible people - our team, our families, and everyone who's been part of the journey.

For the first time, it feels like all of that is coming together in one place. And that makes this Dreamforce more meaningful to me than any we've done before.

This year, we're bringing something new with us too: RevenueMate.

But more than anything, I'm looking forward to sharing the week with the people who helped us get here.

We'll be in the Trailblazer Forest, right in front of the Redwood Theater, September 15–17.

Come see us, say hi, and get a first look at RevenueMate.

See you at Dreamforce.

#Dreamforce #DF26 #Salesforce #GridMate #RevenueMate #TrailblazerForest #BeyondTheDream

Dasun Ratnasekera Sach Cooray Eshan Abeywickrema Souhail Slaoui ☁️ Wissem REBAI Ali Akil Alexa Sawyer",https://www.linkedin.com/posts/rey-perera_dreamforce-df26-salesforce-activity-7505338203713925120-9e8f
2026-09-18,Kara Sibbern,Strategic Communications | Public Sector & National Security | AI & Tech | Salesforce,person,no,yes,44,9,0,53,Kara Sibbern of Salesforce says Dreamforce 2026 has wrapped and promises more details soon on the news announced during #DF26.,"#Dreamforce2026 is a wrap! What an incredible, unforgettable week.

Back soon to share more on the news we announced, but for now, I’m just grateful for all the people who made #DF26 total magic. ✨",https://www.linkedin.com/posts/karasibbern_dreamforce2026-df26-activity-7506786108253511680-Uwfr
2026-09-15,Ben McCarthy,,person,no,yes,33,0,1,34,"Ben McCarthy reports 3,500 registrations for his Dreamforce afterparty and mentions DJing at a Wednesday Dreamfest afterparty.","3,500 people registered for our Dreamforce Afterparty tonight! See you there or be square  🤓 

I'll also be DJing at a Dreamfest Afterparty on Wed, sign up below...

https://lnkd.in/dmEzMKz7",https://www.linkedin.com/posts/salesforceben_3500-people-registered-for-our-dreamforce-activity-7505658700070793219-UVQ1
2026-09-18,Raegan Wilson,Channel & Ecosystem Automation Ninja | Speaker | Mentor | Board Member |,person,no,yes,11,2,0,13,"Raegan Wilson recaps Dreamforce26's Partner Cloud and agentic AI discussions, Jeremy Renner's talk on resilience, and closing performances by Gwen Stefani and Usher.","That's a wrap on #DREAMFORCE26

 🏆  We left with new certifications, countless ideas, and even more excitement about where the future of partner experience is headed.

 ☁️ The conversations around Partner Cloud, agentic AI, and the next evolution of ecosystem engagement reinforced what many of us already know: we're moving beyond systems of record and into systems of action. The opportunity to create more intelligent, personalized, and scalable partner experiences has never been greater.

 🫶 Beyond the technology, I was inspired by the stories of resilience and reinvention shared by Jeremy Renner, a reminder that innovation isn't just about technology, it's about people.

 🎶 And because it's Dreamforce, the week wrapped up with unforgettable performances from Gwen Stefani and Usher. Not a bad way to close out a few days of learning, networking, and imagining what's next.

 💡 Now it's time to take these ideas back and turn them into impact.

#Dreamforce #PartnerCloud #PartnerExperience #Ecosystems #AgenticAI #SalesforcePartners #Innovation",https://www.linkedin.com/posts/raegan-wilson-362497_dreamforce26-dreamforce-partnercloud-activity-7506777697637863424-HKQ6
2026-09-15,Salesforce,,company,no,yes,304,21,33,358,"Salesforce announces 12 Startup Program companies, including TestZeus, Vanshiv Technologies, and Outdoo AI, will have four showcase booths and two speaking slots at Dreamforce.","Salesforce Startup Program at DF26! 🚀

12 startups from the Salesforce Startup Program will be at Dreamforce this year - four showcase booths, two dedicated speaking slots, and all twelve will be attending to be a part of the event where the future happens.

See you in San Francisco. 🏙️

🔗 Learn more about Salesforce Startup Program here: https://lnkd.in/ebAdkaxu

#SalesforceStartupProgram #DF26

TestZeus | Vanshiv Technologies | Outdoo AI | CloudFiles | Trupeer AI | Nektar.ai | 360 Degree Cloud | Girikon | Creatique Technologies | Intellicloud Solutions | Astrea IT Services | AMROAR Technologies Pvt. Ltd.",https://www.linkedin.com/posts/salesforce_salesforcestartupprogram-df26-activity-7505568626087899138-lo06
2026-09-17,Jim Marascio,📈 Helping Businesses Leverage Salesforce for Growth | Expert in Post-Implementation Optimization | Global Talent Pool,person,no,yes,40,4,0,44,"Jim Marascio recaps Dreamforce, noting Sean Lewis received a Golden Hoodie, seeing Melissa Hill Dees, and applying insights for Equals11's clients.","Wrapped up Dreamforce with one of Salesforce’s newest Golden Hoodies. Sean Lewis wears it well. Saw Melissa Hill Dees, MBA from Nonprofit Dreamin and checked off some more product education and partner collaboration. 

It was an amazing (and exhausting) week, and well worth it. 

Now I’m looking forward to applying what I learned to serve Equals11’s clients. Thanks to everyone I met at this years Dreamforce!

#df26 #equals11 #aiforce #agentforce #salesforce",https://www.linkedin.com/posts/marascio_df26-equals11-aiforce-activity-7506448610738413568-3pER
2026-09-16,João Moura,Salesforce ☁️ Solutions for Companies of all Sizes | Producer at an Amateur Theater Group 🎭,person,yes,no,1,0,0,1,"Salesforce consultant João Moura invites Lisbon Trailblazers to a free Dreamforce recap event at Loop Future on the 24th, covering AI and Agentforce announcements.","Hey Lisbon Salesforce folks 👋

We're hosting a Dreamforce Recap at Loop Future on the 24th: sessions on AI, Agentforce, and the big announcements, plus food and drinks after. Massive props to Salesforce Trailblazer Community in Portugal and Faizal Patel for organising this one!

Free event, just grab your spot 🎟️",https://www.linkedin.com/posts/jo%C3%A3o-moura-a8720b153_dreamforce-recap-trailblazer-community-activity-7506002907561893888-nBpO
